Dates,Prices
2020-10-31,9.955759419289269
2020-11-30,10.503162246723942
2020-12-31,10.865452450008442
2021-01-31,10.936601820600686
2021-02-28,10.858193851158346
2021-03-31,10.942546874725114
2021-04-30,10.370650471973665
2021-05-31,10.00128500626397
2021-06-30,9.929364068667748
2021-07-31,10.125850856843424
2021-08-31,10.055206235579837
2021-09-30,10.29266468406563
2021-10-31,10.491374399263648
2021-11-30,11.04121455731762
2021-12-31,11.400866941020766
2022-01-31,11.47044034546748
2022-02-28,11.401805197994129
2022-03-31,11.482244245400707
2022-04-30,10.908105043338677
2022-05-31,10.544481145405758
2022-06-30,10.468133988898009
2022-07-31,10.665181542212022
2022-08-31,10.590102941503487
2022-09-30,10.827060638221191
2022-10-31,11.027125436276412
2022-11-30,11.57920932557248
2022-12-31,11.936155336031161
2023-01-31,12.004317969058222
2023-02-28,11.945472930573455
2023-03-31,12.021737687831074
2023-04-30,11.445647426171133
2023-05-31,11.08779182378739
2023-06-30,11.006913093871937
2023-07-31,11.204389782544
2023-08-31,11.124987484600487
2023-09-30,11.36149422190823
2023-10-31,11.563011306952314
2023-11-30,12.117142007817966
2023-12-31,12.471315933302012
2024-01-31,12.53823294812517
2024-02-29,12.467489565215057
2024-03-31,12.555486940144453
2024-04-30,11.986117126063533
2024-05-31,11.611041766146247
2024-06-30,11.543438912275302
2024-07-31,11.739228644294055
2024-08-31,11.673120229774504
2024-09-30,11.911126630476824
2024-10-31,12.108579465366317
2024-11-30,12.655979230135898
2024-12-31,13.018266268671352
2025-01-31,13.089412474514486
2025-02-28,13.01100164659419
2025-03-31,13.095351505418483
2025-04-30,12.52345204001297
2025-05-31,12.154083409559519
2025-06-30,12.082159409310119
2025-07-31,12.278643032744277
2025-08-31,12.207995246744689
2025-09-30,12.44545063257829
